,x,y,EVI
1,-7786086.029,1382409.318,437.0967712
2,-7786549.342,1381482.693,231.8529358
3,-7786780.999,1381251.036,377.0909119
4,-7781684.559,1381019.38,591.9047852
5,-7781452.902,1381019.38,901.6551514
6,-7787475.968,1380787.723,2119.465088
7,-7787244.311,1380787.723,2193.073975
8,-7787012.655,1380787.723,313.6818237
9,-7781916.215,1380787.723,797.333313
10,-7781684.559,1380787.723,1298
11,-7781452.902,1380787.723,1214.909058
12,-7788170.937,1380556.067,1376.615356
13,-7787939.28,1380556.067,1536.300049
14,-7787244.311,1380556.067,1353.923096
15,-7782379.528,1380556.067,1064.75
16,-7781684.559,1380556.067,612.8928833
17,-7781452.902,1380556.067,854.1785889
18,-7788170.937,1380324.411,1004
19,-7787939.28,1380324.411,1525.916626
20,-7787707.624,1380324.411,1534.739136
21,-7787475.968,1380324.411,794.5238037
22,-7782611.184,1380324.411,372.1176453
23,-7781916.215,1380324.411,1118.71875
24,-7781684.559,1380324.411,1105.407349
25,-7788865.906,1380092.754,1408
26,-7788634.249,1380092.754,1944.277832
27,-7788402.593,1380092.754,1582.5
28,-7787939.28,1380092.754,812
29,-7782842.84,1380092.754,869.2727051
30,-7782611.184,1379861.098,1117.06665
31,-7782379.528,1379861.098,1680.199951
32,-7782147.871,1379861.098,1292.071411
33,-7781916.215,1379861.098,789.5
34,-7782379.528,1379629.442,1276
35,-7782147.871,1379629.442,68.59999847
36,-7780526.277,1379629.442,239.3076935
37,-7780989.59,1379397.785,921.3461304
38,-7780757.933,1379397.785,1616.857178
39,-7781452.902,1379166.129,18.26922989
40,-7781221.246,1379166.129,584.8723145
41,-7780989.59,1379166.129,961.0652466
42,-7780757.933,1379166.129,533.083313
43,-7780294.62,1379166.129,0.719298244
44,-7781452.902,1378934.473,833.861084
45,-7783306.153,1378007.847,121.5
46,-7785854.373,1377776.191,856.166687
47,-7785622.717,1377776.191,1345.888916
48,-7789329.218,1376154.596,80.36363983
49,-7789560.875,1375922.94,1993.1875
50,-7789329.218,1375922.94,1932.938721
51,-7789097.562,1375922.94,1280.693848
52,-7788865.906,1375922.94,49.47727203
53,-7790024.188,1375691.284,597.5818481
54,-7789792.531,1375691.284,689.4285889
55,-7789560.875,1375691.284,1360.395874
56,-7789329.218,1375691.284,1535.117676
57,-7789097.562,1375691.284,1704.717041
58,-7788865.906,1375691.284,814.3076782
59,-7789329.218,1375459.627,622.4509888
60,-7789097.562,1375459.627,1209.804321
61,-7788865.906,1375459.627,1098.423096
62,-7788634.249,1375459.627,499.7755127
63,-7786317.686,1375459.627,407.8333435
64,-7786086.029,1375459.627,677.166687
65,-7788865.906,1375227.971,236.2083282
66,-7787244.311,1375227.971,972.6818237
67,-7787012.655,1375227.971,53.5
68,-7787475.968,1374996.314,811.0178833
69,-7786780.999,1374996.314,112.3829803
70,-7786549.342,1374996.314,581.5116577
71,-7786317.686,1374996.314,684.0952148
72,-7787939.28,1374533.002,409.5499878
73,-7812031.542,1365498.404,1467.512817
74,-7812494.854,1365266.747,2696
75,-7813421.48,1365035.091,755.625
76,-7813189.823,1365035.091,1078.923096
77,-7812494.854,1365035.091,879.333313
78,-7811104.916,1364803.435,1464.333374
79,-7810873.26,1364803.435,2104.678467
80,-7811104.916,1364571.778,1510.777832
81,-7810873.26,1364571.778,2119.206787
82,-7810873.26,1364340.122,1628.43335
83,-7810641.603,1364340.122,2383.21875
84,-7810409.947,1364340.122,2057.25
85,-7809946.634,1364340.122,207.6122437
86,-7810873.26,1364108.466,2063.5
87,-7810641.603,1364108.466,2893.448242
88,-7810178.291,1364108.466,2077.697754
89,-7809946.634,1364108.466,1149.571411
90,-7810873.26,1363876.809,2246.370361
91,-7810641.603,1363876.809,2974.073975
92,-7810409.947,1363876.809,2897.305664
93,-7810178.291,1363876.809,2025.302979
94,-7811336.572,1363645.153,1404.785767
95,-7811104.916,1363645.153,2337.666748
96,-7810873.26,1363645.153,2607.296387
97,-7810873.26,1363413.497,2656.818115
98,-7810641.603,1363413.497,2504.90918
99,-7809946.634,1362255.215,1262
100,-7809714.978,1362255.215,1465
101,-7809483.322,1362255.215,1678
102,-7809946.634,1362023.558,2215
