"","long","lat","EVI","Bio9","Bio16"
"1",-71.7125,12.4125,1535,274,170
"2",-71.6458333333333,12.4041666666667,1617,274,170
"3",-71.7208333333333,12.3708333333333,689,274,171
"4",-71.7125,12.3708333333333,814,274,171
"5",-71.8875,12.2708333333333,2119,276,175
"6",-71.8875,12.2625,2338,276,175
"7",-71.8625,12.2375,2413,276,174
"8",-71.8708333333333,12.2291666666667,2416,275,175
"9",-71.8625,12.2208333333333,2818,275,174
"10",-71.8875,12.1958333333333,190,276,176
"11",-71.8625,12.1958333333333,698,276,175
"12",-71.9875,12.1791666666667,1905,NA,NA
"13",-71.9791666666667,12.1708333333333,2229,277,189
"14",-71.9208333333333,12.1625,899,277,178
"15",-71.9375,12.1541666666667,1651,277,182
"16",-71.3041666666667,11.9125,1880,272,229
"17",-71.3125,11.9041666666667,1492,272,229
"18",-72.2291666666667,11.8875,562,281,249
"19",-71.3541666666667,11.8375,2235,273,231
"20",-71.3458333333333,11.8375,2980,273,231
"21",-72.8541666666667,11.5708333333333,313,275,348
"22",-72.8625,11.5625,1244,275,349
"23",-72.9041666666667,11.5541666666667,361,274,351
"24",-73.2208333333333,11.3208333333333,5371,276,673
"25",-73.2291666666667,11.3125,5597,276,688
"26",-73.2208333333333,11.3125,4308,277,677
"27",-74.7875,11.0791666666667,1803,272,372
"28",-74.8208333333333,11.0708333333333,2022,272,372
"29",-74.8041666666667,11.0708333333333,4943,271,373
"30",-74.7958333333333,11.0708333333333,5315,271,379
"31",-74.7791666666667,11.0708333333333,5297,271,377
"32",-74.8041666666667,11.0625,4833,271,378
"33",-74.7958333333333,11.0625,4245,271,379
"34",-74.7791666666667,11.0625,4990,270,383
"35",-74.7708333333333,11.0625,4104,271,379
"36",-74.7458333333333,11.0625,1841,272,376
"37",-74.8125,11.0541666666667,4991,271,381
"38",-74.8041666666667,11.0541666666667,5106,271,385
"39",-74.7375,11.0541666666667,4955,271,385
"40",-74.8708333333333,11.0458333333333,322,272,410
"41",-74.8041666666667,11.0458333333333,4989,271,387
"42",-74.7958333333333,11.0458333333333,5125,271,392
"43",-74.7875,11.0458333333333,4968,271,391
"44",-74.7791666666667,11.0458333333333,5299,271,389
"45",-74.7625,11.0458333333333,5444,270,393
"46",-74.7458333333333,11.0458333333333,4676,270,390
"47",-74.7208333333333,11.0458333333333,2657,272,379
"48",-74.7125,11.0458333333333,3519,272,377
"49",-74.8458333333333,11.0375,562,272,400
"50",-74.7791666666667,11.0375,4902,270,399
"51",-74.7708333333333,11.0375,5578,271,399
"52",-74.7625,11.0375,4952,270,400
"53",-74.7541666666667,11.0375,4361,271,393
"54",-74.7291666666667,11.0375,4686,271,391
"55",-74.7208333333333,11.0375,2661,272,383
"56",-74.7125,11.0375,3376,271,385
"57",-74.7041666666667,11.0375,5362,272,380
"58",-74.7625,11.0291666666667,5245,271,402
"59",-74.7541666666667,11.0291666666667,4558,272,398
"60",-74.7458333333333,11.0291666666667,4580,271,399
"61",-74.7291666666667,11.0291666666667,3756,271,395
"62",-74.7125,11.0291666666667,4133,271,389
"63",-74.7041666666667,11.0291666666667,5504,271,387
"64",-74.6958333333333,11.0291666666667,5326,271,386
"65",-74.6875,11.0291666666667,6243,271,386
"66",-74.7541666666667,11.0208333333333,5024,270,407
"67",-74.7208333333333,11.0208333333333,4627,271,396
"68",-74.7125,11.0208333333333,4766,271,392
"69",-74.7041666666667,11.0208333333333,4662,271,392
"70",-74.6875,11.0208333333333,5387,272,387
"71",-74.7625,11.0125,4061,271,413
"72",-74.7541666666667,11.0125,4915,271,409
"73",-74.7458333333333,11.0125,4714,270,407
"74",-74.7375,11.0125,4603,271,404
"75",-74.7125,11.0125,4592,271,398
"76",-74.7041666666667,11.0125,3973,271,395
"77",-74.6958333333333,11.0125,4601,271,395
"78",-74.6375,11.0125,4259,273,367
"79",-74.7375,11.0041666666667,3491,271,406
"80",-74.7291666666667,11.0041666666667,4232,271,403
"81",-74.7041666666667,11.0041666666667,2790,272,396
"82",-74.6958333333333,11.0041666666667,4453,272,394
"83",-74.7541666666667,10.9958333333333,4450,271,415
"84",-74.7375,10.9958333333333,4314,272,409
"85",-74.7125,10.9958333333333,4608,271,400
"86",-74.7041666666667,10.9958333333333,4118,272,398
"87",-74.6291666666667,10.9958333333333,3685,272,369
"88",-74.5958333333333,10.9958333333333,2822,274,353
"89",-74.2625,10.9958333333333,3853,276,313
"90",-74.7458333333333,10.9875,3222,271,413
"91",-74.7375,10.9875,4481,271,409
"92",-74.7291666666667,10.9875,4345,271,407
"93",-74.5958333333333,10.9875,2846,274,356
"94",-74.5791666666667,10.9875,260,274,350
"95",-74.5625,10.9875,2448,274,342
"96",-74.5541666666667,10.9875,3179,274,339
"97",-74.5458333333333,10.9875,2581,274,335
"98",-74.2625,10.9875,1280,276,320
"99",-74.6708333333333,10.9791666666667,3757,272,391
"100",-74.6625,10.9791666666667,3823,273,389
"101",-74.6541666666667,10.9791666666667,3502,273,385
"102",-74.6291666666667,10.9791666666667,4612,273,374
"103",-74.5875,10.9791666666667,4382,274,357
"104",-74.5791666666667,10.9791666666667,5031,274,354
"105",-74.5708333333333,10.9791666666667,4246,274,350
"106",-74.5625,10.9791666666667,5195,274,347
"107",-74.5541666666667,10.9791666666667,5082,274,343
"108",-74.5291666666667,10.9791666666667,4835,274,332
"109",-74.2791666666667,10.9791666666667,3261,276,318
"110",-74.7291666666667,10.9708333333333,2782,272,406
"111",-74.6541666666667,10.9708333333333,3849,273,385
"112",-74.6125,10.9708333333333,3193,274,369
"113",-74.5708333333333,10.9708333333333,3912,274,353
"114",-74.5375,10.9708333333333,3713,274,339
"115",-74.5208333333333,10.9708333333333,3663,274,336
"116",-74.5125,10.9708333333333,1685,274,330
"117",-74.4958333333333,10.9708333333333,2067,274,325
"118",-74.4791666666667,10.9708333333333,3479,275,323
"119",-74.4625,10.9708333333333,3593,275,316
"120",-74.4541666666667,10.9708333333333,3478,275,313
"121",-74.3875,10.9708333333333,3306,275,296
"122",-74.2791666666667,10.9708333333333,4633,275,328
"123",-74.2708333333333,10.9708333333333,5321,276,335
"124",-74.2458333333333,10.9708333333333,4683,276,355
"125",-74.6291666666667,10.9625,4320,273,379
"126",-74.6041666666667,10.9625,2027,274,368
"127",-74.5625,10.9625,3732,274,352
"128",-74.5541666666667,10.9625,4179,274,349
"129",-74.5458333333333,10.9625,4248,274,346
"130",-74.5291666666667,10.9625,458,274,339
"131",-74.5125,10.9625,4195,275,335
"132",-74.5041666666667,10.9625,4456,274,333
"133",-74.4958333333333,10.9625,5195,274,333
"134",-74.4291666666667,10.9625,2360,275,312
"135",-74.4125,10.9625,2810,275,310
"136",-74.2708333333333,10.9625,3942,276,344
"137",-74.7375,10.9541666666667,4084,272,410
"138",-74.6208333333333,10.9541666666667,3258,273,377
"139",-74.5708333333333,10.9541666666667,2002,274,359
"140",-74.5541666666667,10.9541666666667,4136,274,353
"141",-74.5458333333333,10.9541666666667,171,274,349
"142",-74.5208333333333,10.9541666666667,3071,275,341
"143",-74.5041666666667,10.9541666666667,4035,274,338
"144",-74.2541666666667,10.9541666666667,1494,276,365
"145",-74.7291666666667,10.9458333333333,3826,272,408
"146",-74.7041666666667,10.9458333333333,3796,272,402
"147",-74.6875,10.9458333333333,3296,273,400
"148",-74.6791666666667,10.9458333333333,2612,273,398
"149",-74.6708333333333,10.9458333333333,4016,273,396
"150",-74.6458333333333,10.9458333333333,2949,273,388
"151",-74.5625,10.9458333333333,2253,274,359
"152",-74.5541666666667,10.9458333333333,408,274,355
"153",-74.7375,10.9375,4648,272,410
"154",-74.6541666666667,10.9375,3783,273,393
"155",-74.6208333333333,10.9375,3295,274,382
"156",-74.5958333333333,10.9375,2795,274,373
"157",-74.5791666666667,10.9375,3610,274,369
"158",-74.5625,10.9375,227,274,362
"159",-74.2625,10.9375,2623,277,377
"160",-74.6708333333333,10.9291666666667,3067,273,397
"161",-74.6458333333333,10.9291666666667,4083,273,393
"162",-74.6041666666667,10.9291666666667,2289,274,379
"163",-74.6791666666667,10.9208333333333,3464,273,400
"164",-74.6708333333333,10.9208333333333,3406,273,399
"165",-74.6458333333333,10.9208333333333,3316,273,394
"166",-74.6375,10.9208333333333,3704,273,393
"167",-74.5875,10.9208333333333,3864,274,376
"168",-74.2875,10.9208333333333,4313,275,372
"169",-74.2791666666667,10.9208333333333,3519,276,380
"170",-74.2708333333333,10.9208333333333,3968,276,388
"171",-74.2541666666667,10.9208333333333,2930,276,402
"172",-74.6458333333333,10.9125,4414,273,396
"173",-74.6375,10.9125,4216,274,394
"174",-74.6208333333333,10.9125,2370,274,388
"175",-74.2875,10.9125,3661,276,381
"176",-74.2791666666667,10.9125,3989,277,386
"177",-74.2708333333333,10.9125,580,276,392
"178",-74.2625,10.9125,3466,275,404
"179",-74.7458333333333,10.9041666666667,3152,273,409
"180",-74.7375,10.9041666666667,3842,273,408
"181",-74.6625,10.9041666666667,3040,274,400
"182",-74.6375,10.9041666666667,4388,274,395
"183",-74.6291666666667,10.9041666666667,3352,274,394
"184",-74.3041666666667,10.9041666666667,4386,276,378
"185",-74.2958333333333,10.9041666666667,4226,276,385
"186",-74.2875,10.9041666666667,4321,276,390
"187",-74.2625,10.9041666666667,4589,276,409
"188",-74.6291666666667,10.8958333333333,4163,274,396
"189",-74.3041666666667,10.8958333333333,4516,276,387
"190",-74.2708333333333,10.8958333333333,4306,277,408
"191",-74.7625,10.8875,1787,273,406
"192",-74.3208333333333,10.8875,3001,276,387
"193",-74.3125,10.8875,4551,276,391
"194",-74.3041666666667,10.8875,4510,276,395
"195",-74.2958333333333,10.8875,3294,275,400
"196",-74.5375,10.8791666666667,1380,275,383
"197",-74.4958333333333,10.8791666666667,3630,275,377
"198",-74.3208333333333,10.8791666666667,5084,276,394
"199",-74.3125,10.8791666666667,4846,276,399
"200",-74.3041666666667,10.8791666666667,4697,275,403
"201",-74.2791666666667,10.8791666666667,4791,277,416
"202",-74.7625,10.8708333333333,3645,274,409
"203",-74.6125,10.8708333333333,3338,275,401
"204",-74.6041666666667,10.8708333333333,2596,275,398
"205",-74.5041666666667,10.8708333333333,5205,275,385
"206",-74.4875,10.8708333333333,4150,276,381
"207",-74.3208333333333,10.8708333333333,5317,276,404
"208",-74.3125,10.8708333333333,5234,276,406
"209",-74.3041666666667,10.8708333333333,4312,275,410
"210",-74.7541666666667,10.8625,1785,274,412
"211",-74.7458333333333,10.8625,4309,273,412
"212",-74.7208333333333,10.8625,1785,274,413
"213",-74.6291666666667,10.8625,3804,275,406
"214",-74.6208333333333,10.8625,3944,275,405
"215",-74.5958333333333,10.8625,4505,275,400
"216",-74.5875,10.8625,1092,275,400
"217",-74.5791666666667,10.8625,2446,275,398
"218",-74.5041666666667,10.8625,4092,276,388
"219",-74.3291666666667,10.8625,4601,276,410
"220",-74.3208333333333,10.8625,5750,275,410
"221",-74.7625,10.8541666666667,2420,274,416
"222",-74.5958333333333,10.8541666666667,2824,275,404
"223",-74.3291666666667,10.8541666666667,5348,276,416
"224",-74.7541666666667,10.8458333333333,3182,275,417
"225",-74.6875,10.8458333333333,3451,275,416
"226",-74.3291666666667,10.8458333333333,5330,276,423
"227",-74.7541666666667,10.8375,4758,275,422
"228",-74.6375,10.8375,3983,275,416
"229",-74.6041666666667,10.8375,4590,276,412
"230",-74.3291666666667,10.8375,4117,276,431
"231",-74.7458333333333,10.8291666666667,4299,275,424
"232",-74.6125,10.8291666666667,4293,276,416
"233",-74.4791666666667,10.8291666666667,2210,276,409
"234",-74.3291666666667,10.8208333333333,5049,276,443
"235",-74.7458333333333,10.8125,1547,276,429
"236",-74.5625,10.8125,4846,276,421
"237",-74.4958333333333,10.8125,2045,277,417
"238",-74.4791666666667,10.8125,2607,276,418
"239",-74.4708333333333,10.8125,4116,275,423
"240",-74.3458333333333,10.8125,4031,276,445
"241",-74.3375,10.8125,4878,276,443
"242",-74.6125,10.8041666666667,4440,275,426
"243",-74.5708333333333,10.8041666666667,3421,276,426
"244",-74.5625,10.8041666666667,4817,277,426
"245",-74.5125,10.8041666666667,3421,277,423
"246",-74.5041666666667,10.8041666666667,1668,277,423
"247",-74.4791666666667,10.8041666666667,4197,277,426
"248",-74.4708333333333,10.8041666666667,4720,276,427
"249",-74.4625,10.8041666666667,2283,276,428
"250",-74.3541666666667,10.8041666666667,4202,277,443
"251",-74.3458333333333,10.8041666666667,5524,276,451
"252",-74.6125,10.7958333333333,4273,277,430
"253",-74.4708333333333,10.7958333333333,4893,277,433
"254",-74.4625,10.7958333333333,4353,276,436
"255",-74.3541666666667,10.7958333333333,3759,276,452
"256",-74.5625,10.7875,1503,276,433
"257",-74.5541666666667,10.7875,2593,276,433
"258",-74.4625,10.7875,4513,277,436
"259",-74.6291666666667,10.7791666666667,3958,276,437
"260",-74.6125,10.7791666666667,3676,277,437
"261",-74.5625,10.7791666666667,3709,276,439
"262",-74.5041666666667,10.7791666666667,960,277,440
"263",-74.6791666666667,10.7708333333333,3862,277,439
"264",-74.5625,10.7708333333333,3970,277,443
"265",-74.5375,10.7708333333333,3961,276,447
"266",-74.4708333333333,10.7708333333333,1785,278,447
"267",-74.3625,10.7708333333333,4259,277,469
"268",-74.6375,10.7625,1998,277,441
"269",-74.5541666666667,10.7625,3618,276,450
"270",-74.5458333333333,10.7625,4231,276,450
"271",-74.4791666666667,10.7625,3738,278,454
"272",-74.4625,10.7625,4166,277,457
"273",-74.6375,10.7541666666667,2900,277,445
"274",-74.5541666666667,10.7541666666667,3882,277,454
"275",-74.5458333333333,10.7541666666667,4656,278,454
"276",-74.4791666666667,10.7541666666667,4014,277,462
"277",-74.4708333333333,10.7541666666667,4943,277,463
"278",-74.4625,10.7541666666667,4587,277,462
"279",-74.3708333333333,10.7541666666667,5633,277,478
"280",-74.3625,10.7541666666667,5352,277,480
"281",-74.6125,10.7458333333333,3256,278,451
"282",-74.5541666666667,10.7458333333333,3864,278,459
"283",-74.5375,10.7458333333333,4295,277,460
"284",-74.4958333333333,10.7458333333333,4835,278,464
"285",-74.4875,10.7458333333333,4828,277,466
"286",-74.4791666666667,10.7458333333333,4641,278,467
"287",-74.4625,10.7458333333333,5014,277,471
"288",-74.5208333333333,10.7375,5208,278,467
"289",-74.5041666666667,10.7375,5183,277,469
"290",-74.4958333333333,10.7375,4284,278,471
"291",-74.4875,10.7375,3030,277,472
"292",-74.4625,10.7375,4880,278,476
"293",-74.3875,10.7375,3418,277,485
"294",-74.3791666666667,10.7375,6183,277,489
"295",-74.5875,10.7291666666667,4399,277,463
"296",-74.5541666666667,10.7291666666667,2250,278,467
"297",-74.5208333333333,10.7291666666667,3711,277,472
"298",-74.5125,10.7291666666667,2681,277,474
"299",-74.4958333333333,10.7291666666667,4727,277,478
"300",-74.4875,10.7291666666667,4776,277,479
"301",-74.4791666666667,10.7291666666667,4866,278,481
"302",-74.4625,10.7291666666667,4622,277,485
"303",-74.4125,10.7291666666667,4370,277,491
"304",-74.4041666666667,10.7291666666667,4875,277,493
"305",-74.5208333333333,10.7208333333333,4662,277,480
"306",-74.5125,10.7208333333333,4769,277,482
"307",-74.5041666666667,10.7208333333333,4923,278,483
"308",-74.4958333333333,10.7208333333333,4764,278,485
"309",-74.4875,10.7208333333333,4469,277,484
"310",-74.4791666666667,10.7208333333333,4802,278,487
"311",-74.4708333333333,10.7208333333333,4407,278,489
"312",-74.4625,10.7208333333333,4744,278,490
"313",-74.4541666666667,10.7208333333333,4738,277,492
"314",-74.4458333333333,10.7208333333333,4713,277,492
"315",-74.4375,10.7208333333333,4916,277,494
"316",-74.4291666666667,10.7208333333333,5206,277,496
"317",-74.5375,10.7125,3787,278,479
"318",-74.5291666666667,10.7125,3541,279,480
"319",-74.5208333333333,10.7125,4660,278,487
"320",-74.5125,10.7125,4782,277,487
"321",-74.5041666666667,10.7125,4615,277,488
"322",-74.4958333333333,10.7125,4678,277,490
"323",-74.4875,10.7125,4576,277,492
"324",-74.4791666666667,10.7125,4473,277,494
"325",-74.4708333333333,10.7125,4169,277,494
"326",-74.4625,10.7125,4685,278,496
"327",-74.4541666666667,10.7125,4307,277,497
"328",-74.4458333333333,10.7125,4713,278,500
"329",-74.4375,10.7125,5166,277,501
"330",-74.5375,10.7041666666667,4620,279,486
"331",-74.5291666666667,10.7041666666667,4640,279,486
"332",-74.5208333333333,10.7041666666667,4345,277,492
"333",-74.5041666666667,10.7041666666667,4675,277,496
"334",-74.4958333333333,10.7041666666667,4227,277,497
"335",-74.4875,10.7041666666667,4498,278,497
"336",-74.4791666666667,10.7041666666667,4554,278,500
"337",-74.4708333333333,10.7041666666667,4624,277,502
"338",-74.4625,10.7041666666667,4579,277,503
"339",-74.4541666666667,10.7041666666667,4907,278,504
"340",-74.4458333333333,10.7041666666667,4933,277,507
"341",-74.4375,10.7041666666667,5302,278,509
"342",-74.5458333333333,10.6958333333333,3277,279,491
"343",-74.5375,10.6958333333333,5092,279,491
"344",-74.5291666666667,10.6958333333333,4960,278,492
"345",-74.5208333333333,10.6958333333333,4286,278,494
"346",-74.5125,10.6958333333333,4787,278,499
"347",-74.5041666666667,10.6958333333333,4826,278,501
"348",-74.4958333333333,10.6958333333333,4307,277,503
"349",-74.4875,10.6958333333333,4390,278,505
"350",-74.4708333333333,10.6958333333333,4479,278,508
"351",-74.4625,10.6958333333333,4854,278,511
"352",-74.4541666666667,10.6958333333333,4826,277,512
"353",-74.4458333333333,10.6958333333333,5068,277,514
"354",-74.5458333333333,10.6875,4868,279,496
"355",-74.5125,10.6875,3670,279,501
"356",-74.4875,10.6875,4724,278,510
"357",-74.4791666666667,10.6875,4327,278,512
"358",-74.4708333333333,10.6875,4668,278,514
"359",-74.4625,10.6875,4821,278,517
"360",-74.4541666666667,10.6875,5072,278,518
"361",-74.5708333333333,10.6791666666667,4348,278,493
"362",-74.5625,10.6791666666667,4278,278,496
"363",-74.5541666666667,10.6791666666667,3823,278,499
"364",-74.5125,10.6791666666667,4645,279,510
"365",-74.4791666666667,10.6791666666667,4674,278,519
"366",-74.4708333333333,10.6791666666667,4701,278,522
"367",-74.4625,10.6791666666667,4447,278,523
"368",-74.5791666666667,10.6708333333333,4350,279,495
"369",-74.5708333333333,10.6708333333333,4643,279,495
"370",-74.5625,10.6708333333333,4556,280,498
"371",-74.5291666666667,10.6708333333333,4458,279,511
"372",-74.5208333333333,10.6708333333333,4085,279,510
"373",-74.4875,10.6708333333333,4504,278,522
"374",-74.4791666666667,10.6708333333333,4713,278,525
"375",-74.4708333333333,10.6708333333333,4673,278,527
"376",-74.4541666666667,10.6708333333333,5124,278,529
"377",-74.5875,10.6625,4609,280,497
"378",-74.5791666666667,10.6625,4174,280,498
"379",-74.5625,10.6625,3806,279,505
"380",-74.5541666666667,10.6625,4945,279,508
"381",-74.5458333333333,10.6625,5027,278,512
"382",-74.5291666666667,10.6625,4868,278,516
"383",-74.4875,10.6625,4768,278,527
"384",-74.4791666666667,10.6625,4783,279,531
"385",-74.4708333333333,10.6625,5090,278,533
"386",-74.4625,10.6625,5052,278,534
"387",-74.4541666666667,10.6625,4820,279,538
"388",-74.5708333333333,10.6541666666667,4177,280,506
"389",-74.5458333333333,10.6541666666667,4528,279,516
"390",-74.5041666666667,10.6541666666667,4155,279,529
"391",-74.4958333333333,10.6541666666667,4834,278,531
"392",-74.4791666666667,10.6541666666667,4595,279,535
"393",-74.4625,10.6541666666667,5364,279,540
"394",-74.4541666666667,10.6541666666667,4918,279,541
"395",-75.4041666666667,10.6458333333333,3278,270,548
"396",-74.5541666666667,10.6458333333333,4652,279,516
"397",-74.5458333333333,10.6458333333333,4802,280,521
"398",-74.5291666666667,10.6458333333333,5056,280,523
"399",-74.5208333333333,10.6458333333333,4963,279,529
"400",-74.5125,10.6458333333333,5248,280,528
"401",-74.4791666666667,10.6458333333333,5010,279,542
"402",-74.5375,10.6375,4665,279,527
"403",-74.5041666666667,10.6375,4769,280,539
"404",-74.5625,10.6291666666667,4925,279,525
"405",-74.5375,10.6291666666667,4575,279,532
"406",-74.5291666666667,10.6291666666667,4809,279,536
"407",-74.5125,10.6291666666667,4636,280,539
"408",-74.5041666666667,10.6291666666667,4824,279,544
"409",-74.4958333333333,10.6291666666667,4734,279,548
"410",-74.4875,10.6291666666667,4930,280,550
"411",-74.5375,10.6208333333333,4919,279,537
"412",-74.4958333333333,10.6208333333333,4771,279,551
"413",-74.5291666666667,10.6125,5098,280,544
"414",-74.5208333333333,10.6125,5462,280,549
"415",-74.5041666666667,10.6125,4841,280,553
"416",-74.5375,10.5958333333333,4406,280,550
"417",-74.5291666666667,10.5958333333333,4188,280,554
"418",-74.5375,10.5875,4382,281,556
"419",-75.4875,10.4875,3631,270,503
"420",-75.4791666666667,10.4875,2585,270,508
"421",-75.4875,10.4791666666667,3125,270,497
"422",-75.4791666666667,10.4708333333333,4288,270,499
"423",-75.4791666666667,10.4625,3995,270,494
"424",-75.5041666666667,10.4541666666667,2810,269,470
"425",-75.4791666666667,10.4541666666667,2701,270,486
"426",-75.4708333333333,10.4125,2593,271,463
"427",-75.5541666666667,10.3625,4125,269,400
"428",-75.5541666666667,10.3375,752,270,410
"429",-75.5041666666667,10.3125,1973,272,428
"430",-75.5791666666667,10.2875,3033,NA,NA
"431",-75.5291666666667,10.2875,1127,271,432
"432",-75.5208333333333,10.2708333333333,4720,272,439
"433",-75.5125,10.2708333333333,3734,272,439
"434",-75.5208333333333,10.2625,4537,272,441
"435",-75.5125,10.2625,4222,272,442
"436",-75.5291666666667,10.2541666666667,5152,272,444
"437",-75.5208333333333,10.2541666666667,5841,272,444
"438",-75.5125,10.2541666666667,4275,272,445
"439",-75.5375,10.2458333333333,4757,272,446
"440",-75.5291666666667,10.2458333333333,5550,272,447
"441",-75.5208333333333,10.2375,4557,272,453
"442",-75.6041666666667,10.2291666666667,2385,271,444
"443",-75.5375,10.2291666666667,3712,272,450
"444",-75.5291666666667,10.2291666666667,4222,272,454
"445",-75.5208333333333,10.2208333333333,4263,272,459
"446",-75.5208333333333,10.2125,4644,272,461
"447",-75.5208333333333,10.2041666666667,5202,273,464
"448",-75.5208333333333,10.1958333333333,3162,273,467
"449",-75.6375,10.1875,3552,273,454
"450",-75.5208333333333,10.1875,1869,274,469
"451",-75.5291666666667,10.1708333333333,4323,273,476
"452",-75.5208333333333,10.1708333333333,4876,273,479
"453",-75.5125,10.1708333333333,5213,274,479
"454",-75.5208333333333,10.1625,4743,274,479
"455",-75.5291666666667,10.1541666666667,1965,273,483
"456",-75.5208333333333,10.1541666666667,3634,274,484
"457",-75.5125,10.1541666666667,4292,274,484
"458",-75.5375,10.1458333333333,1493,274,484
"459",-75.5291666666667,10.1458333333333,3105,274,486
"460",-75.5125,10.1458333333333,4386,274,489
"461",-75.6875,10.1375,4303,272,463
"462",-75.5375,10.1375,5092,274,486
"463",-75.5291666666667,10.1375,4083,274,489
"464",-75.4875,10.1375,3879,275,503
"465",-75.5458333333333,10.1291666666667,3063,274,488
"466",-75.5375,10.1291666666667,3618,274,490
"467",-75.5291666666667,10.1291666666667,2700,274,493
"468",-75.5708333333333,10.1208333333333,4257,274,484
"469",-75.5625,10.1208333333333,4058,274,486
"470",-75.5291666666667,10.1208333333333,4303,274,498
"471",-75.5708333333333,10.1125,4423,274,488
"472",-75.5625,10.1125,3631,274,491
"473",-75.5541666666667,10.1125,3986,274,494
"474",-75.5708333333333,10.1041666666667,4872,273,492
"475",-75.5625,10.1041666666667,4102,274,496
"476",-75.5458333333333,10.1041666666667,4739,274,501
"477",-75.5708333333333,10.0958333333333,4758,274,496
"478",-75.5541666666667,10.0958333333333,5298,274,501
"479",-75.5458333333333,10.0958333333333,4618,274,504
"480",-75.5291666666667,10.0958333333333,4032,275,512
"481",-75.5708333333333,10.0875,4454,274,499
"482",-75.5625,10.0875,4291,274,503
"483",-75.5541666666667,10.0875,4698,274,504
"484",-75.5375,10.0875,4188,275,513
"485",-75.5291666666667,10.0875,3401,274,516
"486",-75.5208333333333,10.0875,5025,274,518
"487",-75.5625,10.0791666666667,5341,274,505
"488",-75.5541666666667,10.0791666666667,4993,274,510
"489",-75.5458333333333,10.0791666666667,4689,274,513
"490",-75.5375,10.0791666666667,4406,275,516
"491",-75.5291666666667,10.0791666666667,5007,275,520
"492",-75.5208333333333,10.0791666666667,5722,275,522
"493",-75.5625,10.0708333333333,4948,274,509
"494",-75.5541666666667,10.0708333333333,5269,274,512
"495",-75.5458333333333,10.0708333333333,5043,275,515
"496",-75.5375,10.0708333333333,4867,275,519
"497",-75.5291666666667,10.0708333333333,5306,274,522
"498",-75.5208333333333,10.0708333333333,5297,275,528
"499",-75.4958333333333,10.0708333333333,5565,276,537
"500",-75.5625,10.0625,5378,274,513
"501",-75.5541666666667,10.0625,5415,275,516
"502",-75.5458333333333,10.0625,5358,275,519
"503",-75.5375,10.0625,4846,275,523
"504",-75.5291666666667,10.0625,5008,274,526
"505",-75.5208333333333,10.0625,5230,274,532
"506",-75.4958333333333,10.0625,1175,276,542
"507",-75.4875,10.0625,4788,276,546
"508",-75.5708333333333,10.0541666666667,4662,274,513
"509",-75.5625,10.0541666666667,5158,275,516
"510",-75.5541666666667,10.0541666666667,5035,275,519
"511",-75.5291666666667,10.0541666666667,4839,275,530
"512",-75.5208333333333,10.0541666666667,5185,276,533
"513",-75.5041666666667,10.0541666666667,2127,276,541
"514",-75.4958333333333,10.0541666666667,4610,276,546
"515",-75.4708333333333,10.0541666666667,4864,277,559
"516",-75.4625,10.0541666666667,3684,277,564
"517",-75.5708333333333,10.0458333333333,2981,274,517
"518",-75.5625,10.0458333333333,5737,275,520
"519",-75.5458333333333,10.0458333333333,5321,275,525
"520",-75.4958333333333,10.0458333333333,5007,275,550
"521",-75.5708333333333,10.0375,4987,275,518
"522",-75.5625,10.0375,5497,275,522
"523",-75.5708333333333,10.0291666666667,3861,274,521
"524",-75.5541666666667,10.0291666666667,5376,276,528
"525",-75.5708333333333,10.0208333333333,2607,275,524
"526",-75.5625,10.0208333333333,4680,275,527
"527",-75.5708333333333,10.0125,3634,275,526
"528",-75.5541666666667,10.0125,4350,275,533
"529",-75.5708333333333,10.0041666666667,6033,275,528
"530",-75.5625,10.0041666666667,5580,275,532
"531",-75.5541666666667,10.0041666666667,5789,275,536
"532",-75.5791666666667,9.99583333333333,5223,275,527
"533",-75.5708333333333,9.9875,5897,276,532
"534",-75.5625,9.9875,5602,275,536
"535",-75.5541666666667,9.9875,5288,275,539
"536",-75.5625,9.97916666666667,4452,275,536
"537",-75.5708333333333,9.97083333333333,4113,275,536
"538",-75.5625,9.97083333333333,4700,275,539
"539",-75.5625,9.9625,4782,276,539
"540",-75.5791666666667,9.95416666666667,3218,276,533
"541",-75.5708333333333,9.95416666666667,3377,276,536
"542",-75.5791666666667,9.94583333333333,2822,276,534
"543",-75.5875,9.9375,4818,276,531
"544",-75.5875,9.92916666666667,4228,276,531
"545",-75.6208333333333,9.87083333333333,2795,276,522
"546",-75.8375,9.79583333333333,4683,274,500
"547",-75.6541666666667,9.74583333333333,4180,276,513
"548",-75.6625,9.7375,2794,276,513
"549",-75.6458333333333,9.70416666666667,3869,276,513
"550",-75.6375,9.70416666666667,4292,276,514
"551",-75.6291666666667,9.69583333333333,3612,276,514
"552",-75.5958333333333,9.6625,2068,277,515
"553",-75.5875,9.65416666666667,5546,276,516
"554",-75.5791666666667,9.64583333333333,5150,276,516
"555",-75.5791666666667,9.6375,4016,277,515
"556",-75.5708333333333,9.62916666666667,5617,277,515
